localizacao,tipo,titulo,descricao_detalhada,video,imagens,links,audio,user_id,id
"-23.93788, -46.319121",assistencia,Centro POP Santos,"O Centro POP oferece suporte para pessoas em situação de rua, incluindo alimentação, higiene, encaminhamento para serviços de saúde e assistência social. 

Localização e Contato;Endereço:** Rua Amador Bueno, 446, Paquetá, Santos - SP
 **Telefone:** (13) 3201-5000
Para mais informações, visite o site da [Prefeitura de Santos](https://www.santos.sp.gov.br/?q=servico%2Fcentro-pop).",https://www.youtube.com/embed/Jza5eookk6U?si=A1o6qeBL2O27YuJR,,https://www.santos.sp.gov.br/centropop,,,1
"-23.9720242, -46.3013736",assistencia,CRAS Zona da Orla e Intermediária,"O Centro de Referência de Assistência Social (CRAS) é uma unidade pública que atua como porta de entrada da Assistência Social, oferecendo serviços de proteção básica às famílias e indivíduos em situação de risco social. Na região da Ponta da Praia, em Santos, o CRAS responsável é o da Zona da Orla e Intermediária. Serviços oferecidos incluem:

- **Proteção e Atendimento Integral às Famílias (PAIF):** Serviço que visa apoiar as famílias no fortalecimento de seus vínculos e na superação de dificuldades, por meio de atendimentos psicossociais, visitas domiciliares e atividades comunitárias.

- **Gerenciamento de Programas de Transferência de Renda:** Atuação em programas como Bolsa Família, Renda Cidadã, Nossa Família, Bolsa Santos, Benefício de Prestação Continuada (BPC) para idosos e pessoas com deficiência, Ação Jovem e Valorização do Jovem.

- **Serviço de Convivência e Fortalecimento de Vínculos:** Promoção de oficinas, palestras e grupos de convivência que buscam desenvolver habilidades, promover a integração social e prevenir situações de vulnerabilidade.

**Localização e Contato:**

- **Endereço:** Praça Visconde de Ouro Preto, 12, Estuário, Santos, SP.

- **Telefone:** (13) 3203-2903.",,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/7562xaa5gnp.png,https://www.santos.sp.gov.br/?q=local%2Fcentro-de-referencia-da-assistencia-social-zona-da-orla-e-intermediaria,,,2
"-23.9796224, -46.3077376",assistencia,Casa do Paraplégico de Santos,"Organização filantrópica para pessoas com deficiência física. Telefone: (13) 3236-3006
",,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/2210juph2pf.png,,,,4
"-23.9796224, -46.3077376",assistencia,Vila Criativa Senior 50+,"Espaços de promoção de cultura, esporte, lazer e profissionalização, inseridos em regiões de alta vulnerabilidade social e também demandas especificas como a população 60+ , com o objetivo de inclusão e desenvolvimento das comunidades. Email: vilascriativas@santos.sp.gov.br

 ",,https://www.santos.sp.gov.br/?q=portal/vila-criativa-senior,,,,5
"-23.9711037, -46.3080697",assistencia,Pronto Socorro Dentário e de Implantes,,,,,,,6
"-23.9794573, -46.3060937",assistencia,Residencial Geriátrico Lar Vida,"Casa de repouso idealizada com objetivo de prestar serviços na área de saúde, atendendo idosos em regime permanente e temporário. Telefone: (13) 3345-7836",,,,,,8
"-23.9785566, -46.3088064",assistencia,Prevent Senior. Unidade Cascais,"Unidade de saúde paga com diversos planos de saúde. A unidade funciona das 6h às 22h, de segunda a sexta, e das 6h às 13h aos sábados.
Telefone: (13) 4042-0844",,,https://www.preventsenior.com.br/blog/prevent-senior-inaugura-primeira-unidade-tem%C3%A1tica-em-santos-sp-nmad-cascais,,,9
"-23.9791109, -46.3096918",assistencia,Gerência Executiva do Instituto Nacional do Seguro Social em Santos,"Organização pública prestadora de serviços previdenciários para a sociedade brasileira, vinculada ao Ministério da Previdência Social. Ao Instituto Nacional do Seguro Social (INSS) compete reconhecer o direito e viabilizar o acesso de todos os cidadãos aos benefícios e serviços da Previdência Social, como aposentadoria, pensão e salário-maternidade, dentre outros. 
Telefone: (13) 3878-8592 ",,,https://www.gov.br/inss/pt-br/acesso-a-informacao/institucional/institucional,,,10
"-23.9781893, -46.3111461",assistencia,Secretaria de Estado da Saúde,"A Secretaria de Estado da Saúde de São Paulo - SES-SP é responsável pela formulação da Política Estadual de Saúde e de suas diretrizes, norteada pelos princípios do Sistema Único de Saúde - SUS, que tem como propósitos promover a saúde priorizando as ações preventivas, democratizando as informações relevantes para que a população conheça seus direitos e os riscos à sua saúde.
A SES-SP é também responsável pela articulação e pelo planejamento de ações desenvolvidas pelos 17 Departamentos Regionais de Saúde (DRS) distribuídos pelo Estado, além de administrar três fundações: a do Remédio Popular (FURP), que pesquisa, desenvolve, fabrica e distribui medicamentos; a Oncocentro de São Paulo (FOSP), que constitui-se basicamente na instância de apoio à SES-SP para assessorar a política de câncer no Estado; e a Pró-Sangue Hemocentro de São Paulo, que além do desenvolvimento de pesquisas a partir de padrões internacionais de referência, fornece hemocomponentes e serviços hemoterápicos.


A da baixada santista é a DPR IV. fone: (13) 3227-5969 / 3278-7737. e-mail: drs4@saude.sp.gov.br",,,https://saude.sp.gov.br/ses/institucional/departamentos-regionais-de-saude/drs-iv-baixada-santista,,,11
"-23.93520260334, -46.3161947883599",assistencia,Policlínica e Pronto Atendimento do Porto - UBS Pa-Porto,"A Policlínica e Pronto Atendimento do Porto, localizada no bairro Paquetá, em Santos, é uma unidade de saúde que oferece serviços médicos básicos e emergenciais à população. Situada na Rua General Câmara, 507, a unidade funciona de segunda a sexta-feira, das 7h às 19h. A policlínica disponibiliza atendimentos em diversas especialidades médicas, além de serviços como consultas, exames laboratoriais, vacinação e acompanhamento de doenças crônicas. O pronto atendimento serve como suporte para casos de urgência e emergência de baixa complexidade, garantindo um serviço acessível à comunidade local. Para mais informações, é possível entrar em contato.",,/cartografiasocial/fotos/ubspaqueta.jpg,,/cartografiasocial/audio/policlinica_paqueta.mp3,,12
"-23.9407581, -46.3356959",assistencia,Policlínica Jabaquara - Unidade Saúde da Família Jabaquara," Unidade Saúde da Família do Jabaquara é a primeira policlínica universitária da cidade de Santos, em conjunto com a fundação Lusíada propicia os estudantes estarem mais próximos da comunidade. A Unidade é referência de cuidado no bairro, além de oferecer consultas e acompanhamentos médicos, oferece  oficinas e grupos de promoção e prevenção.",,"/cartografiasocial/fotos/poli_jaba_1.jpg, /cartografiasocial/fotos/poli_jaba_2.jpg",,,,13
"-23.9448193, -46.3417959",assistencia,Codevida - Coordenadoria de Defesa da Vida Animal," A Codevida foi criada pela Lei Complementar 542, art. 548, de 27/09/2005 (reforma administrativa) e tem como função principal o controle populacional de cães e gatos. Além disso, oferece atendimento médico e cirúrgico aos animais castrados da população de baixa renda. Por ano, o setor realiza cerca de cinco mil castrações e quase 10 mil atendimentos clínicos. Para isso, além da Unidade Jabaquara, possui uma Unidade no Jardim Botânico Chico Mendes (Bom Retiro) e outra em Caruara (Área Continental). ara incentivar ainda mais as castrações, a Codevida possui dois veículos Castramóvel, equipamento especialmente adaptado como centro cirúrgico, capaz de realizar de 20 a 40 castrações por dia, atendendo diretamente nos bairros, após pré-agendamento. A Codevida é uma das únicas entidades públicas do País onde seus animais já são doados castrados, microchipados e com vacinas importadas. No período em que estão sob tutela da coordenadoria, são alimentados com ração de qualidade e recebem acompanhamento psicológico e físico, embasados em critérios internacionais de bem-estar animal.  Codevida também possui um veículo especialmente adaptado para transporte em caso de resgate de animal em risco de morte, sempre previamente avaliado pelos técnicos do setor.",,/cartografiasocial/fotos/codevida_1.jpg,,,,14
"-23.9420504, -46.3395723",assistencia,APASEM - Associação de Promoção e Assistência Social Estrela do Mar - Núcleo Jabaquara,"<p>Foi constituída em 02 de maio de 2002, pela Cúria Diocesana de Santos, com o objetivo de apoiar as iniciativas sociais das Paróquias da Diocese de Santos, na capitalização de recursos para projetos da igreja. om uma diretoria atuante, envolvida com as causas sociais de nossa região, a Estrela do Mar conta no seu quadro diretivo com pessoas voluntárias totalmente comprometidas com as ações sociais da igreja, apoiando diversas atividades sociais, culturais e educacionais em vários municípios da Baixada Santista. Aém da iniciativa privada, atualmente, apresentam-se como principais parceiros da APASEM, o Poder Público Municipal e Estadual, por meio de suas secretarias em Santos, Cubatão e Praia Grande. Atualmente no bairro do Jabaquara oferta aulas voltadas para fortalecimento e convivência dos idosos, com aulas de música, história geral, cultura, prática laboral e jogos.</p>",,/cartografiasocial/fotos/apasem.jpg,,,,15
"-23.943, -46.3401784",assistencia,Associação Equoterapia,"<p>O Projeto Equoterapia é o pioneiro na Baixada Santista na utilização da Equoterapia para reabilitação e habilitação de pessoas deficientes e/ou com necessidades especiais e foi implantado em 1997 no município de São Vicente – SP, em uma área cedida pela Prefeitura Municipal do município, de aproximadamente 900 m², no antigo Horto Municipal de São Vicente....</p>",,/cartografiasocial/fotos/codevida_2.jpg,,,,16
"-23.9445175, -46.3366313",assistencia,Santa Casa da Misericórdia de Santos,A Santa Casa de Santos foi o primeiro hospital do Brasil e é uma instituição filantrópica fundamental no cenário de assistência à saúde. Atualmente segue sendo referência na cidade atendendo serviços privados e alguns setores públicos da saúde.,,/cartografiasocial/fotos/santa_casa_1.jpg,,,,17
"-23.9647998, -46.3260761",educação,Escola Estadual Canadá,"A Escola Estadual Canadá é uma instituição de ensino localizada no bairro Boqueirão, atendendo alunos do ensino fundamental e médio. Possui estrutura moderna e oferece uma educação de qualidade para a comunidade estudantil.",,,"Localização no Google Maps: https://www.google.com.br/maps/place/Escola+Estadual+Canad%C3%A1/@-23.9648928,-46.3263122,20.3z",,,18
"-23.9647998, -46.3260761",educação,UME Lydia Federici,"A UME Lydia Federici atende alunos do ensino fundamental, proporcionando ensino de qualidade para crianças da região. A escola conta com uma infraestrutura adequada para o aprendizado dos alunos.",,,,,,19
"-23.9671019, -46.3235923",educação,UME Derosse José de Oliveira,"A UME Derosse José de Oliveira é uma escola municipal localizada no Boqueirão. Oferece ensino infantil e fundamental, atendendo crianças da comunidade local.",,,"Localização no Google Maps: https://www.google.com.br/maps/place/UME+Derosse+Jos%C3%A9+de+Oliveira/@-23.9670841,-46.3235617,21z",,,20
"-23.9531346, -46.3403866",educação,E. E. Prof. Primo Ferreira,"Escola pública estadual em Santos, SP, oferecendo ensino fundamental, médio e EJA.",,"/cartografiasocial/fotos/primo.jpeg, /cartografiasocial/fotos/primo2.png",Blog da E. E. Prof. Primo Ferreira: https://profprimoferreira.blogspot.com/; Perfil no Instagram: https://www.instagram.com/eeprimoferreira/; Página no Facebook: https://www.facebook.com/profile.php?id=154035801319535,,,21
"-23.9524879, -46.3399188",educação,E. E. Azevedo Junior,"Escola pública estadual em Santos, SP, oferecendo ensino fundamental e médio.",,/cartografiasocial/fotos/azevedo.jpeg,Detalhes da escola no site da Secretaria da Educação: https://www.educação.sp.gov.br/cgrh/escolas/azevedo-junior/; Informações no QEdu: https://qedu.org.br/escola/35011708-azevedo-junior; Perfil no Facebook: https://www.facebook.com/profile.php?id=385223288248341,,,22
"-23.9545224, -46.3432385",educação,Colégio Lamec,"Escola particular em Santos, SP, oferecendo Educação Infantil e Ensino Fundamental.",,/cartografiasocial/fotos/lamec.jpeg,Perfil no Instagram: https://www.instagram.com/colegiolamec/; Página no Facebook: https://www.facebook.com/pages/Colegio-Lamec/179882508872891,,,23
